customer_id,unsub_date,re_engagement_date,user_tenure,num_logins_last_30_days,num_transactions_last_30_days,customer_segment,campaign_type,discount_offered,prev_winback_success,app_usage_time,winback_propensity_score,winback_success
67d96571-b3d0-4546-81f4-b0397c5abed2,2023-05-07,2023-08-12,171,7,1,Low-Value,SMS,10.51,0,353,0.503,0
fb955682-96af-4fde-b29a-872aec73814b,2023-03-29,2023-05-11,1098,9,2,Medium-Value,Push Notification,17.64,0,172,0.164,0
35f315bb-252d-40e8-ba08-25527ceb0f54,2023-08-24,2023-10-10,480,16,6,High-Value,Push Notification,22.59,0,367,0.18,0
28083de5-fd0e-405b-8581-d1e433e25311,2023-12-12,2023-10-18,333,9,3,Medium-Value,SMS,13.63,0,304,0.745,0
04e6f637-b382-499f-b223-d3f9a90e3abf,2023-06-27,2023-04-25,61,20,2,Medium-Value,SMS,26.83,0,250,0.914,1
e9616dc5-87a5-4c4c-b4ea-4571d09d25a2,2023-10-19,2023-09-11,61,14,6,High-Value,Email,28.5,0,437,0.441,0
9bdfe2ca-0529-42cf-97fc-2ffb6e25e0dc,2023-11-05,2023-06-20,21,15,3,High-Value,Email,8.06,0,340,0.756,0
3a3fb445-54b5-40d0-9b61-9d6e228127a0,2023-03-26,2023-07-27,734,13,1,High-Value,SMS,22.96,0,345,0.576,0
afbd52d1-9a1e-46c7-a632-cc4b71f6ebd9,2023-01-04,2023-09-14,335,18,3,Medium-Value,Email,8.3,0,103,0.877,1
80ed1144-3131-41d9-b069-39a7d78cc0a9,2023-12-09,2023-06-10,449,18,4,Medium-Value,Email,13.52,1,408,0.931,1
c12bba5d-834b-45c6-9f43-a8aa77876743,2023-08-04,2023-04-12,7,16,5,Medium-Value,Email,25.49,0,344,0.836,1
9f95ad6d-ea3a-4436-9372-2024164f9aeb,2023-09-19,2023-07-17,1278,17,5,High-Value,Email,13.41,0,423,0.923,1
0a16680f-1550-49c5-8fac-a79b176ce745,2023-02-04,2023-06-19,652,13,1,Low-Value,Push Notification,27.68,0,240,0.25,0
d719580c-f294-4eb5-8e4a-b7bc40c9dfaa,2023-09-25,2023-08-08,87,17,2,Low-Value,SMS,15.29,0,228,0.289,0
eb576972-f8c2-40ca-8fef-aab1fe474757,2023-02-19,2023-06-12,73,13,7,Low-Value,Email,12.74,0,461,0.587,0
a790cd1d-1431-42ec-b462-be70d3183630,2023-02-18,2023-06-10,73,15,3,Medium-Value,Push Notification,29.73,0,395,0.801,1
e955b27f-924c-4a6b-b085-a513e9c73aaf,2023-10-20,2023-02-16,132,13,3,Low-Value,Email,16.04,0,157,0.085,0
f709e23f-3e5c-4d91-a414-72f23c9a4ce5,2023-02-22,2023-07-31,271,12,2,Medium-Value,Push Notification,23.52,0,301,0.321,0
7fb79a16-73fa-4b15-9fe9-c860c26aeaad,2023-11-24,2023-10-20,206,11,2,Medium-Value,Push Notification,19.99,0,402,0.325,0
b51b4145-096c-42ff-a751-7ff9097b2f73,2023-11-04,2023-05-28,125,17,2,Medium-Value,Push Notification,10.06,1,317,0.869,1
fd2d5293-8110-4c85-9f92-e8444d9503a5,2023-08-10,2023-09-24,345,21,4,High-Value,Email,17.51,0,245,0.745,0
d7a3ee80-9094-44d9-af77-bb22820ab3ae,2023-05-13,2023-08-06,54,20,6,Medium-Value,Email,6.94,0,233,0.651,0
7b59dd5c-4748-4e6b-8dc3-af6f65de3097,2023-08-17,2023-01-26,126,8,10,Medium-Value,SMS,22.72,0,306,0.186,0
09c44e03-5897-4939-a048-9e0b38ab8602,2023-06-28,2023-05-15,166,21,3,Low-Value,Email,17.97,1,402,0.524,0
5b79eec4-6f2b-41c0-9349-2dfe3b82adf8,2023-06-06,2023-10-30,222,13,3,Medium-Value,Email,8.06,1,200,0.009,0
ab81aef3-6e6f-4e57-96d0-0af508bfe037,2023-03-15,2023-01-13,561,18,2,Medium-Value,Email,24.17,0,86,0.207,0
486b8faf-35d6-4844-b796-2bc134967370,2023-11-22,2023-04-18,81,10,2,Medium-Value,SMS,25.11,0,259,0.802,1
c176f5cb-4254-4e4e-9218-20de6b6c6627,2023-01-07,2023-08-29,263,15,6,Medium-Value,Push Notification,23.35,0,345,0.655,0
c052db04-f917-47ed-86df-b6fec05a5a70,2023-07-27,2024-01-24,327,16,1,High-Value,Push Notification,13.23,0,367,0.547,0
104ff393-0945-4d26-9d19-1cf53a0d40aa,2023-08-20,2023-12-14,17,7,4,High-Value,Push Notification,23.08,0,198,0.843,1
19f18ac0-cb94-47e4-bf80-af06a5f9b613,2023-04-01,2023-08-12,341,18,6,Medium-Value,SMS,,0,326,0.442,0
1452d25d-1f20-40b5-8261-1fa590e4bfef,2023-03-24,2023-08-26,68,21,2,Low-Value,Email,18.6,0,236,0.28,0
afb72e1d-6cde-4503-a0f5-fe184fe2318a,2023-04-15,2023-12-31,24,14,3,High-Value,Email,21.22,0,373,0.839,1
85fd48ae-adbd-4ceb-bed2-88e9b667723b,2023-09-11,2023-12-28,1085,21,1,Medium-Value,Email,20.75,0,286,0.303,0
